,branch,city,cust_type,gender,type,unit_price,quantity,date,time,payment,cost,gross_income,rating,month,day,day_of_week,hour
482,B,Ismailia,Member,Female,Food and beverages,33.21,10,2019-01-08,14:25:00,eWallet,332.1,16.605,6.0,1,8,1,14
20,A,Cairo,Member,Female,Electronic accessories,79.59,3,2019-01-08,14:30:00,Cash,238.77,11.9385,6.6,1,8,1,14
700,C,Alexandria,Member,Female,Food and beverages,68.54,8,2019-01-08,15:57:00,eWallet,548.32,27.416,8.5,1,8,1,15
98,C,Alexandria,Normal,Female,Fashion accessories,31.73,9,2019-01-08,16:17:00,Credit card,285.57,14.2785,5.9,1,8,1,16
187,A,Cairo,Normal,Female,Electronic accessories,50.23,4,2019-01-08,17:12:00,Cash,200.92,10.046,9.0,1,8,1,17
919,A,Cairo,Member,Male,Sports and travel,12.76,2,2019-01-08,18:06:00,eWallet,25.52,1.276,7.8,1,8,1,18
447,B,Ismailia,Member,Male,Fashion accessories,65.23,10,2019-01-08,19:07:00,Credit card,652.3,32.615,5.2,1,8,1,19
652,C,Alexandria,Member,Male,Food and beverages,24.31,3,2019-01-08,19:09:00,Credit card,72.93,3.6465,4.3,1,8,1,19
927,C,Alexandria,Member,Female,Food and beverages,72.88,9,2019-01-08,19:38:00,Cash,655.92,32.796,4.0,1,8,1,19
475,C,Alexandria,Member,Female,Fashion accessories,51.89,7,2019-01-08,20:08:00,Cash,363.23,18.1615,4.5,1,8,1,20
576,B,Ismailia,Member,Female,Food and beverages,74.6,10,2019-01-08,20:55:00,Cash,746.0,37.3,9.5,1,8,1,20
100,C,Alexandria,Normal,Male,Electronic accessories,96.37,7,2019-01-09,11:40:00,Cash,674.59,33.7295,6.0,1,9,2,11
960,C,Alexandria,Normal,Female,Home and lifestyle,15.8,10,2019-01-09,12:07:00,Cash,158.0,7.9,7.8,1,9,2,12
235,A,Cairo,Member,Male,Fashion accessories,38.54,5,2019-01-09,13:34:00,eWallet,192.7,9.635,5.6,1,9,2,13
549,C,Alexandria,Normal,Female,Sports and travel,95.44,10,2019-01-09,13:45:00,Cash,954.4,47.72,5.2,1,9,2,13
332,C,Alexandria,Normal,Female,Fashion accessories,49.32,6,2019-01-09,13:46:00,eWallet,295.92,14.796,7.1,1,9,2,13
193,C,Alexandria,Member,Male,Fashion accessories,49.04,9,2019-01-09,14:20:00,Credit card,441.36,22.068,8.6,1,9,2,14
301,B,Ismailia,Member,Female,Sports and travel,11.85,8,2019-01-09,16:34:00,Cash,94.8,4.74,4.1,1,9,2,16
254,B,Ismailia,Member,Female,Home and lifestyle,21.9,3,2019-01-09,18:43:00,eWallet,65.7,3.285,4.7,1,9,2,18
989,C,Alexandria,Normal,Female,Sports and travel,83.14,7,2019-01-10,10:31:00,Credit card,581.98,29.099,6.6,1,10,3,10
168,B,Ismailia,Normal,Female,Fashion accessories,79.86,7,2019-01-10,10:33:00,Credit card,559.02,27.951,5.5,1,10,3,10
143,B,Ismailia,Normal,Female,Electronic accessories,13.78,4,2019-01-10,11:10:00,eWallet,55.12,2.756,9.0,1,10,3,11
623,C,Alexandria,Member,Male,Electronic accessories,74.79,5,2019-01-10,11:34:00,Cash,373.95,18.6975,4.9,1,10,3,11
798,A,Cairo,Member,Male,Home and lifestyle,78.38,6,2019-01-10,14:16:00,eWallet,470.28,23.514,5.8,1,10,3,14
668,B,Ismailia,Normal,Male,Sports and travel,83.78,8,2019-01-10,14:49:00,Cash,670.24,33.512,5.1,1,10,3,14
971,A,Cairo,Member,Female,Sports and travel,21.98,7,2019-01-10,16:42:00,eWallet,153.86,7.693,5.1,1,10,3,16
702,A,Cairo,Member,Female,Health and beauty,36.26,2,2019-01-10,17:15:00,Credit card,72.52,3.626,7.2,1,10,3,17
587,C,Alexandria,Member,Male,Food and beverages,50.49,9,2019-01-10,17:16:00,Cash,454.41,22.7205,5.4,1,10,3,17
236,A,Cairo,Member,Male,Sports and travel,82.33,4,2019-01-11,10:37:00,Credit card,329.32,16.466,7.5,1,11,4,10
470,A,Cairo,Normal,Male,Fashion accessories,89.69,1,2019-01-11,11:20:00,eWallet,89.69,4.4845,4.9,1,11,4,11
381,A,Cairo,Normal,Female,Home and lifestyle,96.52,6,2019-01-11,11:52:00,Cash,579.12,28.956,4.5,1,11,4,11
25,A,Cairo,Member,Male,Food and beverages,48.5,6,2019-01-11,13:57:00,eWallet,291.0,14.55,9.4,1,11,4,13
807,C,Alexandria,Member,Female,Sports and travel,87.16,2,2019-01-11,14:29:00,Credit card,174.32,8.716,9.7,1,11,4,14
529,A,Cairo,Normal,Male,Food and beverages,24.94,9,2019-01-11,16:49:00,Credit card,224.46,11.223,5.6,1,11,4,16
783,A,Cairo,Normal,Male,Food and beverages,13.79,5,2019-01-11,19:07:00,Credit card,68.95,3.4475,7.8,1,11,4,19
606,C,Alexandria,Member,Female,Food and beverages,36.77,7,2019-01-11,20:10:00,Cash,257.39,12.8695,7.4,1,11,4,20
939,B,Ismailia,Normal,Female,Fashion accessories,83.25,10,2019-01-12,11:25:00,Credit card,832.5,41.625,4.4,1,12,5,11
523,B,Ismailia,Normal,Female,Home and lifestyle,51.07,7,2019-01-12,11:42:00,Cash,357.49,17.8745,7.0,1,12,5,11
695,C,Alexandria,Member,Male,Sports and travel,57.12,7,2019-01-12,12:02:00,Credit card,399.84,19.992,6.5,1,12,5,12
743,A,Cairo,Member,Male,Electronic accessories,88.67,10,2019-01-12,14:50:00,eWallet,886.7,44.335,7.3,1,12,5,14
352,A,Cairo,Member,Female,Fashion accessories,20.01,9,2019-01-12,15:48:00,Credit card,180.09,9.0045,5.7,1,12,5,15
816,C,Alexandria,Normal,Male,Home and lifestyle,97.5,10,2019-01-12,16:18:00,eWallet,975.0,48.75,8.0,1,12,5,16
679,A,Cairo,Normal,Female,Fashion accessories,29.42,10,2019-01-12,16:23:00,eWallet,294.2,14.71,8.9,1,12,5,16
815,B,Ismailia,Normal,Male,Sports and travel,23.01,6,2019-01-12,16:45:00,eWallet,138.06,6.903,7.9,1,12,5,16
930,B,Ismailia,Normal,Female,Health and beauty,57.22,2,2019-01-12,17:13:00,eWallet,114.44,5.722,8.3,1,12,5,17
111,B,Ismailia,Member,Male,Electronic accessories,91.56,8,2019-01-12,18:22:00,eWallet,732.48,36.624,6.0,1,12,5,18
243,B,Ismailia,Member,Female,Health and beauty,27.07,1,2019-01-12,20:07:00,Credit card,27.07,1.3535,5.3,1,12,5,20
455,A,Cairo,Normal,Male,Sports and travel,45.58,7,2019-01-13,10:03:00,Cash,319.06,15.953,5.0,1,13,6,10
109,A,Cairo,Member,Male,Home and lifestyle,81.01,3,2019-01-13,12:55:00,Credit card,243.03,12.1515,9.3,1,13,6,12
849,C,Alexandria,Member,Female,Food and beverages,21.04,4,2019-01-13,13:58:00,Cash,84.16,4.208,7.6,1,13,6,13
295,B,Ismailia,Member,Male,Fashion accessories,59.86,2,2019-01-13,14:55:00,eWallet,119.72,5.986,6.7,1,13,6,14
784,C,Alexandria,Normal,Female,Electronic accessories,41.65,10,2019-01-13,17:04:00,Credit card,416.5,20.825,5.4,1,13,6,17
370,A,Cairo,Member,Female,Health and beauty,39.62,9,2019-01-13,17:54:00,Credit card,356.58,17.829,6.8,1,13,6,17
453,A,Cairo,Normal,Female,Electronic accessories,23.46,6,2019-01-13,19:14:00,eWallet,140.76,7.038,6.4,1,13,6,19
554,C,Alexandria,Member,Female,Fashion accessories,74.29,1,2019-01-13,19:30:00,Cash,74.29,3.7145,5.0,1,13,6,19
286,B,Ismailia,Member,Male,Sports and travel,72.6,6,2019-01-13,19:51:00,Cash,435.6,21.78,6.9,1,13,6,19
314,B,Ismailia,Normal,Male,Food and beverages,72.39,2,2019-01-13,19:55:00,Credit card,144.78,7.239,8.1,1,13,6,19
405,C,Alexandria,Normal,Male,Electronic accessories,61.41,7,2019-01-14,10:02:00,Cash,429.87,21.4935,9.8,1,14,0,10
276,B,Ismailia,Normal,Female,Sports and travel,34.81,1,2019-01-14,10:11:00,Credit card,34.81,1.7405,7.0,1,14,0,10
558,B,Ismailia,Normal,Female,Health and beauty,17.75,1,2019-01-14,10:38:00,Cash,17.75,0.8875,8.6,1,14,0,10
740,C,Alexandria,Member,Male,Health and beauty,60.47,3,2019-01-14,10:55:00,Credit card,181.41,9.0705,5.6,1,14,0,10
962,B,Ismailia,Normal,Female,Food and beverages,99.69,5,2019-01-14,12:09:00,Cash,498.45,24.9225,9.9,1,14,0,12
704,A,Cairo,Member,Female,Fashion accessories,96.7,5,2019-01-14,12:52:00,eWallet,483.5,24.175,7.0,1,14,0,12
346,C,Alexandria,Member,Female,Electronic accessories,44.84,9,2019-01-14,14:00:00,Credit card,403.56,20.178,7.5,1,14,0,14
605,C,Alexandria,Normal,Male,Food and beverages,31.77,4,2019-01-14,14:43:00,eWallet,127.08,6.354,6.2,1,14,0,14
441,C,Alexandria,Normal,Male,Food and beverages,84.83,1,2019-01-14,15:20:00,eWallet,84.83,4.2415,8.8,1,14,0,15
694,C,Alexandria,Normal,Male,Health and beauty,53.19,7,2019-01-14,15:42:00,eWallet,372.33,18.6165,5.0,1,14,0,15
318,B,Ismailia,Member,Female,Fashion accessories,18.08,4,2019-01-14,18:03:00,Credit card,72.32,3.616,9.5,1,14,0,18
851,B,Ismailia,Normal,Male,Food and beverages,73.06,7,2019-01-14,19:06:00,Credit card,511.42,25.571,4.2,1,14,0,19
602,A,Cairo,Member,Male,Fashion accessories,56.04,10,2019-01-14,19:30:00,eWallet,560.4,28.02,4.4,1,14,0,19
247,A,Cairo,Normal,Female,Sports and travel,19.1,7,2019-01-15,10:43:00,Cash,133.7,6.685,9.7,1,15,1,10
603,A,Cairo,Member,Male,Food and beverages,83.77,2,2019-01-15,10:54:00,Credit card,167.54,8.377,7.0,1,15,1,10
419,B,Ismailia,Normal,Female,Fashion accessories,73.52,2,2019-01-15,13:41:00,eWallet,147.04,7.352,4.6,1,15,1,13
800,B,Ismailia,Normal,Female,Home and lifestyle,97.37,10,2019-01-15,13:48:00,Credit card,973.7,48.685,4.9,1,15,1,13
97,B,Ismailia,Member,Male,Health and beauty,66.47,10,2019-01-15,15:01:00,Credit card,664.7,33.235,5.0,1,15,1,15
697,C,Alexandria,Normal,Male,Electronic accessories,55.87,10,2019-01-15,15:01:00,Cash,558.7,27.935,5.8,1,15,1,15
40,A,Cairo,Member,Female,Home and lifestyle,89.21,9,2019-01-15,15:42:00,Credit card,802.89,40.1445,6.5,1,15,1,15
245,B,Ismailia,Member,Female,Sports and travel,93.72,6,2019-01-15,16:19:00,Cash,562.32,28.116,4.5,1,15,1,16
207,A,Cairo,Normal,Female,Electronic accessories,60.88,9,2019-01-15,17:17:00,eWallet,547.92,27.396,4.7,1,15,1,17
987,A,Cairo,Normal,Female,Home and lifestyle,11.43,6,2019-01-15,17:24:00,Cash,68.58,3.429,7.7,1,15,1,17
330,B,Ismailia,Normal,Male,Electronic accessories,75.66,5,2019-01-15,18:22:00,eWallet,378.3,18.915,7.8,1,15,1,18
438,C,Alexandria,Member,Male,Food and beverages,17.44,5,2019-01-15,19:25:00,Cash,87.2,4.36,8.1,1,15,1,19
263,C,Alexandria,Member,Male,Health and beauty,81.23,7,2019-01-15,20:44:00,Cash,568.61,28.4305,9.0,1,15,1,20
922,C,Alexandria,Member,Male,Sports and travel,17.14,7,2019-01-16,12:07:00,Credit card,119.98,5.999,7.9,1,16,2,12
156,C,Alexandria,Normal,Male,Home and lifestyle,95.58,10,2019-01-16,13:32:00,Cash,955.8,47.79,4.8,1,16,2,13
335,C,Alexandria,Normal,Female,Food and beverages,52.6,9,2019-01-16,14:42:00,Cash,473.4,23.67,7.6,1,16,2,14
946,C,Alexandria,Member,Female,Sports and travel,15.49,2,2019-01-16,15:10:00,Cash,30.98,1.549,6.3,1,16,2,15
696,B,Ismailia,Member,Male,Fashion accessories,51.36,1,2019-01-16,15:26:00,eWallet,51.36,2.568,5.2,1,16,2,15
680,A,Cairo,Member,Male,Home and lifestyle,63.56,10,2019-01-16,17:59:00,Cash,635.6,31.78,4.3,1,16,2,17
309,B,Ismailia,Member,Female,Sports and travel,90.74,7,2019-01-16,18:03:00,Credit card,635.18,31.759,6.2,1,16,2,18
715,C,Alexandria,Normal,Female,Food and beverages,93.26,9,2019-01-16,18:08:00,Cash,839.34,41.967,8.8,1,16,2,18
642,A,Cairo,Normal,Female,Sports and travel,93.18,2,2019-01-16,18:41:00,Credit card,186.36,9.318,8.5,1,16,2,18
230,B,Ismailia,Normal,Male,Fashion accessories,39.21,4,2019-01-16,20:03:00,Credit card,156.84,7.842,9.0,1,16,2,20
717,B,Ismailia,Normal,Female,Sports and travel,40.62,2,2019-01-17,10:01:00,Credit card,81.24,4.062,4.1,1,17,3,10
310,B,Ismailia,Member,Male,Food and beverages,57.89,2,2019-01-17,10:37:00,eWallet,115.78,5.789,8.9,1,17,3,10
1,C,Alexandria,Member,Female,Health and beauty,62.82,2,2019-01-17,12:36:00,eWallet,125.64,6.282,4.9,1,17,3,12
806,A,Cairo,Normal,Male,Home and lifestyle,21.52,6,2019-01-17,12:48:00,Credit card,129.12,6.456,9.4,1,17,3,12
731,A,Cairo,Normal,Female,Food and beverages,81.21,10,2019-01-17,13:01:00,Credit card,812.1,40.605,6.3,1,17,3,13
620,C,Alexandria,Member,Male,Sports and travel,71.92,5,2019-01-17,15:05:00,Credit card,359.6,17.98,4.3,1,17,3,15
486,A,Cairo,Normal,Male,Sports and travel,58.91,7,2019-01-17,15:15:00,eWallet,412.37,20.6185,9.7,1,17,3,15
709,B,Ismailia,Member,Female,Home and lifestyle,94.59,7,2019-01-17,15:27:00,Credit card,662.13,33.1065,4.9,1,17,3,15
115,C,Alexandria,Member,Male,Food and beverages,65.65,2,2019-01-17,16:46:00,Cash,131.3,6.565,6.0,1,17,3,16
430,A,Cairo,Normal,Male,Sports and travel,25.7,3,2019-01-17,17:59:00,eWallet,77.1,3.855,6.1,1,17,3,17
221,B,Ismailia,Member,Female,Home and lifestyle,86.72,1,2019-01-17,18:45:00,eWallet,86.72,4.336,7.9,1,17,3,18
562,A,Cairo,Member,Female,Fashion accessories,88.15,3,2019-01-18,10:11:00,eWallet,264.45,13.2225,7.9,1,18,4,10
390,B,Ismailia,Normal,Male,Food and beverages,19.79,8,2019-01-18,12:04:00,eWallet,158.32,7.916,8.7,1,18,4,12
893,B,Ismailia,Member,Female,Fashion accessories,17.48,6,2019-01-18,15:04:00,Credit card,104.88,5.244,6.1,1,18,4,15
644,C,Alexandria,Normal,Female,Health and beauty,39.42,1,2019-01-18,15:08:00,Cash,39.42,1.971,8.4,1,18,4,15
716,C,Alexandria,Member,Female,Sports and travel,90.63,9,2019-01-18,15:28:00,Cash,815.67,40.7835,5.1,1,18,4,15
846,C,Alexandria,Normal,Male,Fashion accessories,60.74,7,2019-01-18,16:23:00,eWallet,425.18,21.259,5.0,1,18,4,16
73,A,Cairo,Member,Male,Sports and travel,89.06,6,2019-01-18,17:26:00,Cash,534.36,26.718,9.9,1,18,4,17
744,A,Cairo,Member,Male,Home and lifestyle,19.36,9,2019-01-18,18:43:00,eWallet,174.24,8.712,8.7,1,18,4,18
735,A,Cairo,Normal,Female,Electronic accessories,26.31,5,2019-01-18,20:59:00,Credit card,131.55,6.5775,8.8,1,18,4,20
829,B,Ismailia,Member,Female,Electronic accessories,12.1,8,2019-01-19,10:17:00,eWallet,96.8,4.84,8.6,1,19,5,10
844,C,Alexandria,Member,Female,Home and lifestyle,88.61,1,2019-01-19,10:21:00,Cash,88.61,4.4305,7.7,1,19,5,10
57,C,Alexandria,Normal,Female,Electronic accessories,56.13,4,2019-01-19,11:43:00,eWallet,224.52,11.226,8.6,1,19,5,11
771,C,Alexandria,Member,Male,Food and beverages,59.59,4,2019-01-19,12:46:00,Cash,238.36,11.918,9.8,1,19,5,12
473,A,Cairo,Member,Male,Electronic accessories,11.94,3,2019-01-19,12:47:00,Credit card,35.82,1.791,8.1,1,19,5,12
21,A,Cairo,Normal,Female,Fashion accessories,99.1,6,2019-01-19,13:11:00,Cash,594.6,29.73,4.2,1,19,5,13
53,A,Cairo,Normal,Male,Sports and travel,64.19,10,2019-01-19,14:08:00,Credit card,641.9,32.095,6.7,1,19,5,14
980,A,Cairo,Member,Male,Sports and travel,67.26,4,2019-01-19,15:28:00,Credit card,269.04,13.452,8.0,1,19,5,15
343,B,Ismailia,Normal,Male,Sports and travel,63.06,3,2019-01-19,15:58:00,eWallet,189.18,9.459,7.0,1,19,5,15
226,C,Alexandria,Member,Male,Sports and travel,80.93,1,2019-01-19,16:08:00,Credit card,80.93,4.0465,9.0,1,19,5,16
867,A,Cairo,Normal,Male,Food and beverages,51.28,6,2019-01-19,16:31:00,Cash,307.68,15.384,6.5,1,19,5,16
633,B,Ismailia,Member,Male,Electronic accessories,52.89,6,2019-01-19,17:34:00,Credit card,317.34,15.867,9.8,1,19,5,17
882,A,Cairo,Normal,Female,Home and lifestyle,45.68,10,2019-01-19,19:30:00,eWallet,456.8,22.84,5.7,1,19,5,19
995,C,Alexandria,Normal,Female,Food and beverages,43.18,8,2019-01-19,19:39:00,Credit card,345.44,17.272,8.3,1,19,5,19
677,A,Cairo,Member,Male,Home and lifestyle,58.07,9,2019-01-19,20:07:00,eWallet,522.63,26.1315,4.3,1,19,5,20
908,A,Cairo,Normal,Male,Food and beverages,33.88,8,2019-01-19,20:29:00,eWallet,271.04,13.552,9.6,1,19,5,20
764,C,Alexandria,Member,Female,Home and lifestyle,89.25,8,2019-01-20,10:13:00,Cash,714.0,35.7,4.7,1,20,6,10
449,C,Alexandria,Normal,Male,Health and beauty,64.08,7,2019-01-20,12:27:00,eWallet,448.56,22.428,7.6,1,20,6,12
316,B,Ismailia,Normal,Male,Home and lifestyle,37.48,3,2019-01-20,13:45:00,Credit card,112.44,5.622,7.7,1,20,6,13
856,A,Cairo,Member,Male,Health and beauty,55.5,4,2019-01-20,15:48:00,Credit card,222.0,11.1,6.6,1,20,6,15
890,A,Cairo,Member,Female,Home and lifestyle,72.35,10,2019-01-20,15:55:00,Cash,723.5,36.175,5.4,1,20,6,15
